"","za","nest","rnkIndex","len","hits","fp","fn","precision","Recall","F1"
"1",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"2",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"3",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"4",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"5",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"6",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"7",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"8",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"9",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"10",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"11",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"12",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"13",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"14",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"15",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"16",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"17",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"18",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"19",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"20",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"21",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"22",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"23",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"24",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"25",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"26",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"27",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"28",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"29",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"30",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"31",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"32",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"33",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"34",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"35",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"36",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"37",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"38",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"39",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"40",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"41",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"42",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"43",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"44",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"45",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"46",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"47",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"48",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"49",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"50",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"51",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"52",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"53",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"54",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"55",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"56",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"57",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"58",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"59",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"60",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"61",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"62",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"63",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"64",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"65",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"66",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"67",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"68",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"69",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"70",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"71",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"72",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"73",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"74",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"75",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"76",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"77",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"78",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"79",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"80",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"81",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"82",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"83",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"84",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"85",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"86",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"87",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"88",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"89",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"90",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"91",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"92",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"93",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"94",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"95",7.17131191822753,1.30254304985516,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"96",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
"97",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"98",5.03479492830557,1.80278422318802,1,10,9,1,1,0.9,0.9,0.9
"99",5.25840394444927,1.76115962396984,1,10,6,4,4,0.6,0.6,0.6
"100",6.18092899670158,1.59413754362019,1,10,6,4,4,0.6,0.6,0.6
