"","za","nest","rnkIndex","len","hits","fp","fn","precision","Recall","F1"
"1",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"2",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"3",4.5738770436921,0.744447308857012,1,11,0,11,10,0,0,NA
"4",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"5",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"6",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"7",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"8",4.31359764608872,1.15147887479873,1,10,0,10,10,0,0,NA
"9",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"10",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"11",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"12",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"13",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"14",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"15",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"16",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"17",3.34439180370939,1.20761992223003,1,10,0,10,10,0,0,NA
"18",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"19",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"20",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"21",4.66458154335366,0.717592502134575,1,11,1,10,9,0.0909090909090909,0.1,0.0952380952380952
"22",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"23",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"24",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"25",4.31359764608872,1.15147887479873,1,10,0,10,10,0,0,NA
"26",4.93190884258596,0.603090046115313,1,10,1,9,9,0.1,0.1,0.1
"27",4.71220033638174,0.676369431869238,1,11,0,11,10,0,0,NA
"28",4.71220033638174,0.676369431869238,1,11,0,11,10,0,0,NA
"29",3.34439180370939,1.20761992223003,1,10,0,10,10,0,0,NA
"30",4.5738770436921,0.744447308857012,1,11,0,11,10,0,0,NA
"31",3.34439180370939,1.20761992223003,1,10,0,10,10,0,0,NA
"32",4.31359764608872,1.15147887479873,1,10,0,10,10,0,0,NA
"33",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"34",4.93190884258596,0.603090046115313,1,10,1,9,9,0.1,0.1,0.1
"35",4.31359764608872,1.15147887479873,1,10,0,10,10,0,0,NA
"36",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"37",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"38",4.5738770436921,0.744447308857012,1,11,0,11,10,0,0,NA
"39",3.34439180370939,1.20761992223003,1,10,0,10,10,0,0,NA
"40",4.66458154335366,0.717592502134575,1,11,1,10,9,0.0909090909090909,0.1,0.0952380952380952
"41",3.34439180370939,1.20761992223003,1,10,0,10,10,0,0,NA
"42",4.71220033638174,0.676369431869238,1,11,0,11,10,0,0,NA
"43",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"44",4.66458154335366,0.717592502134575,1,11,1,10,9,0.0909090909090909,0.1,0.0952380952380952
"45",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"46",3.34439180370939,1.20761992223003,1,10,0,10,10,0,0,NA
"47",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"48",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"49",4.66458154335366,0.717592502134575,1,11,1,10,9,0.0909090909090909,0.1,0.0952380952380952
"50",4.93190884258596,0.603090046115313,1,10,1,9,9,0.1,0.1,0.1
"51",4.93190884258596,0.603090046115313,1,10,1,9,9,0.1,0.1,0.1
"52",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"53",4.95880349084287,0.531373259847242,1,14,0,14,10,0,0,NA
"54",3.12935854787931,1.2942905280276,1,10,1,9,9,0.1,0.1,0.1
"55",4.71220033638174,0.676369431869238,1,11,0,11,10,0,0,NA
"56",4.66458154335366,0.717592502134575,1,11,1,10,9,0.0909090909090909,0.1,0.0952380952380952
"57",4.5738770436921,0.744447308857012,1,11,0,11,10,0,0,NA
"58",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"59",4.35297941265306,0.745439481280291,1,10,0,10,10,0,0,NA
"60",4.71220033638174,0.676369431869238,1,11,0,11,10,0,0,NA
