"","za","nest","rnkIndex","len","hits","fp","fn","precision","Recall","F1"
"1",5.68369214223077,1.80973325637127,1,10,7,3,3,0.7,0.7,0.7
"2",2.71183724004146,2.27668033724291,1,10,5,5,5,0.5,0.5,0.5
"3",2.71183724004146,2.27668033724291,1,10,5,5,5,0.5,0.5,0.5
"4",5.18878744616019,1.82697338269215,1,10,7,3,3,0.7,0.7,0.7
"5",5.91090396379312,1.79064801433937,1,11,7,4,3,0.636363636363636,0.7,0.666666666666667
"6",5.68369214223077,1.80973325637127,1,10,7,3,3,0.7,0.7,0.7
"7",3.62494006178331,2.25944021092204,1,10,5,5,5,0.5,0.5,0.5
"8",6.19433987845703,1.70893409504621,1,10,6,4,4,0.6,0.6,0.6
"9",3.62494006178331,2.25944021092204,1,10,5,5,5,0.5,0.5,0.5
"10",4.12875095791988,2.15144469888236,1,10,6,4,4,0.6,0.6,0.6
"11",6.29740487665757,1.55698747002907,1,10,8,2,2,0.8,0.8,0.8
"12",5.0961363243212,1.9813557669712,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"13",4.57444035096422,1.99602564548219,1,10,6,4,4,0.6,0.6,0.6
"14",6.19433987845703,1.70893409504621,1,10,6,4,4,0.6,0.6,0.6
"15",6.29740487665757,1.55698747002907,1,10,8,2,2,0.8,0.8,0.8
"16",5.91090396379312,1.79064801433937,1,11,7,4,3,0.636363636363636,0.7,0.666666666666667
"17",5.18878744616019,1.82697338269215,1,10,7,3,3,0.7,0.7,0.7
"18",2.71183724004146,2.27668033724291,1,10,5,5,5,0.5,0.5,0.5
"19",5.15948750218555,1.87125386077618,1,11,7,4,3,0.636363636363636,0.7,0.666666666666667
"20",6.19433987845703,1.70893409504621,1,10,6,4,4,0.6,0.6,0.6
"21",6.29740487665757,1.55698747002907,1,10,8,2,2,0.8,0.8,0.8
"22",2.71183724004146,2.27668033724291,1,10,5,5,5,0.5,0.5,0.5
"23",6.21553327975082,1.57485300666851,1,11,7,4,3,0.636363636363636,0.7,0.666666666666667
"24",5.18878744616019,1.82697338269215,1,10,7,3,3,0.7,0.7,0.7
"25",6.19433987845703,1.70893409504621,1,10,6,4,4,0.6,0.6,0.6
"26",2.71183724004146,2.27668033724291,1,10,5,5,5,0.5,0.5,0.5
"27",2.71183724004146,2.27668033724291,1,10,5,5,5,0.5,0.5,0.5
"28",5.18878744616019,1.82697338269215,1,10,7,3,3,0.7,0.7,0.7
"29",2.71183724004146,2.27668033724291,1,10,5,5,5,0.5,0.5,0.5
"30",6.7638179346219,1.3512936089382,1,10,7,3,3,0.7,0.7,0.7
