"","za","nest","rnkIndex","len","hits","fp","fn","precision","Recall","F1"
"1",3.55713787950264,1.63081969006961,1,10,4,6,6,0.4,0.4,0.4
"2",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"3",5.08856674040056,1.20602353139352,1,10,7,3,3,0.7,0.7,0.7
"4",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"5",5.08856674040056,1.20602353139352,1,10,7,3,3,0.7,0.7,0.7
"6",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"7",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"8",4.67141953108181,1.26524649369341,1,10,6,4,4,0.6,0.6,0.6
"9",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"10",4.68098997038287,1.23260523851166,1,10,6,4,4,0.6,0.6,0.6
"11",4.8902337577454,1.22059644211809,1,10,6,4,4,0.6,0.6,0.6
"12",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"13",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"14",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"15",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"16",4.67141953108181,1.26524649369341,1,10,6,4,4,0.6,0.6,0.6
"17",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"18",3.55713787950264,1.63081969006961,1,10,4,6,6,0.4,0.4,0.4
"19",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"20",4.67141953108181,1.26524649369341,1,10,6,4,4,0.6,0.6,0.6
"21",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"22",5.08856674040056,1.20602353139352,1,10,7,3,3,0.7,0.7,0.7
"23",4.8902337577454,1.22059644211809,1,10,6,4,4,0.6,0.6,0.6
"24",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"25",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"26",3.55713787950264,1.63081969006961,1,10,4,6,6,0.4,0.4,0.4
"27",4.68098997038287,1.23260523851166,1,10,6,4,4,0.6,0.6,0.6
"28",5.08856674040056,1.20602353139352,1,10,7,3,3,0.7,0.7,0.7
"29",4.68098997038287,1.23260523851166,1,10,6,4,4,0.6,0.6,0.6
"30",5.08856674040056,1.20602353139352,1,10,7,3,3,0.7,0.7,0.7
"31",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"32",5.08856674040056,1.20602353139352,1,10,7,3,3,0.7,0.7,0.7
"33",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"34",3.55713787950264,1.63081969006961,1,10,4,6,6,0.4,0.4,0.4
"35",4.68098997038287,1.23260523851166,1,10,6,4,4,0.6,0.6,0.6
"36",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"37",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"38",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"39",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"40",5.08856674040056,1.20602353139352,1,10,7,3,3,0.7,0.7,0.7
"41",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"42",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"43",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"44",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"45",4.68098997038287,1.23260523851166,1,10,6,4,4,0.6,0.6,0.6
"46",4.68098997038287,1.23260523851166,1,10,6,4,4,0.6,0.6,0.6
"47",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"48",3.74288673309492,1.57603839910237,1,10,5,5,5,0.5,0.5,0.5
"49",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"50",5.08856674040056,1.20602353139352,1,10,7,3,3,0.7,0.7,0.7
"51",4.68098997038287,1.23260523851166,1,10,6,4,4,0.6,0.6,0.6
"52",4.60464781677154,1.56773112676469,1,10,7,3,3,0.7,0.7,0.7
"53",3.55713787950264,1.63081969006961,1,10,4,6,6,0.4,0.4,0.4
"54",5.08856674040056,1.20602353139352,1,10,7,3,3,0.7,0.7,0.7
"55",4.67141953108181,1.26524649369341,1,10,6,4,4,0.6,0.6,0.6
"56",3.55713787950264,1.63081969006961,1,10,4,6,6,0.4,0.4,0.4
"57",4.68098997038287,1.23260523851166,1,10,6,4,4,0.6,0.6,0.6
"58",3.55713787950264,1.63081969006961,1,10,4,6,6,0.4,0.4,0.4
