"","za","nest","rnkIndex","len","hits","fp","fn","precision","Recall","F1"
"1",4.314740854929,1.86922202121611,1,10,7,3,3,0.7,0.7,0.7
"2",3.60175592849021,1.90740520939322,1,10,6,4,4,0.6,0.6,0.6
"3",4.63437950236887,1.65231002260907,1,10,8,2,2,0.8,0.8,0.8
"4",4.92598352150358,1.63642593022172,1,10,8,2,2,0.8,0.8,0.8
"5",3.32881800958466,2.05279020579247,1,10,6,4,4,0.6,0.6,0.6
"6",4.314740854929,1.86922202121611,1,10,7,3,3,0.7,0.7,0.7
"7",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"8",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"9",3.32881800958466,2.05279020579247,1,10,6,4,4,0.6,0.6,0.6
"10",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"11",3.58021756492331,1.98397349820569,1,10,6,4,4,0.6,0.6,0.6
"12",5.04349074151348,1.46796222210945,1,10,8,2,2,0.8,0.8,0.8
"13",3.32881800958466,2.05279020579247,1,10,6,4,4,0.6,0.6,0.6
"14",4.314740854929,1.86922202121611,1,10,7,3,3,0.7,0.7,0.7
"15",5.04349074151348,1.46796222210945,1,10,8,2,2,0.8,0.8,0.8
"16",4.63437950236887,1.65231002260907,1,10,8,2,2,0.8,0.8,0.8
"17",4.92598352150358,1.63642593022172,1,10,8,2,2,0.8,0.8,0.8
"18",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"19",3.32881800958466,2.05279020579247,1,10,6,4,4,0.6,0.6,0.6
"20",4.63437950236887,1.65231002260907,1,10,8,2,2,0.8,0.8,0.8
"21",3.60175592849021,1.90740520939322,1,10,6,4,4,0.6,0.6,0.6
"22",3.32881800958466,2.05279020579247,1,10,6,4,4,0.6,0.6,0.6
"23",4.314740854929,1.86922202121611,1,10,7,3,3,0.7,0.7,0.7
"24",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"25",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"26",3.32881800958466,2.05279020579247,1,10,6,4,4,0.6,0.6,0.6
"27",4.314740854929,1.86922202121611,1,10,7,3,3,0.7,0.7,0.7
"28",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"29",3.58021756492331,1.98397349820569,1,10,6,4,4,0.6,0.6,0.6
"30",4.314740854929,1.86922202121611,1,10,7,3,3,0.7,0.7,0.7
"31",4.92598352150358,1.63642593022172,1,10,8,2,2,0.8,0.8,0.8
"32",5.03770365278017,1.55266302208357,1,10,8,2,2,0.8,0.8,0.8
"33",5.04349074151348,1.46796222210945,1,10,8,2,2,0.8,0.8,0.8
"34",4.63437950236887,1.65231002260907,1,10,8,2,2,0.8,0.8,0.8
"35",4.314740854929,1.86922202121611,1,10,7,3,3,0.7,0.7,0.7
"36",3.32881800958466,2.05279020579247,1,10,6,4,4,0.6,0.6,0.6
"37",5.04349074151348,1.46796222210945,1,10,8,2,2,0.8,0.8,0.8
"38",3.32881800958466,2.05279020579247,1,10,6,4,4,0.6,0.6,0.6
"39",3.32881800958466,2.05279020579247,1,10,6,4,4,0.6,0.6,0.6
"40",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"41",3.60175592849021,1.90740520939322,1,10,6,4,4,0.6,0.6,0.6
"42",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"43",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"44",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
"45",4.314740854929,1.86922202121611,1,10,7,3,3,0.7,0.7,0.7
"46",4.45100510463365,1.75369092830327,1,10,6,4,4,0.6,0.6,0.6
