"","za","nest","rnkIndex","len","hits","fp","fn","precision","Recall","F1"
"1",3.29602451322609,1.75628779158168,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"2",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"3",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"4",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"5",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"6",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"7",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"8",3.29602451322609,1.75628779158168,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"9",5.97016004880222,1.35338182967599,1,10,8,2,2,0.8,0.8,0.8
"10",3.29602451322609,1.75628779158168,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"11",5.82534238645665,1.50046652385501,1,11,8,3,2,0.727272727272727,0.8,0.761904761904762
"12",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"13",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"14",5.97016004880222,1.35338182967599,1,10,8,2,2,0.8,0.8,0.8
"15",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"16",5.97016004880222,1.35338182967599,1,10,8,2,2,0.8,0.8,0.8
"17",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"18",3.29602451322609,1.75628779158168,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"19",5.97016004880222,1.35338182967599,1,10,8,2,2,0.8,0.8,0.8
"20",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"21",5.82534238645665,1.50046652385501,1,11,8,3,2,0.727272727272727,0.8,0.761904761904762
"22",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"23",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"24",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"25",3.29602451322609,1.75628779158168,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"26",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"27",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"28",5.82534238645665,1.50046652385501,1,11,8,3,2,0.727272727272727,0.8,0.761904761904762
"29",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"30",3.29602451322609,1.75628779158168,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"31",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"32",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"33",5.82534238645665,1.50046652385501,1,11,8,3,2,0.727272727272727,0.8,0.761904761904762
"34",5.82534238645665,1.50046652385501,1,11,8,3,2,0.727272727272727,0.8,0.761904761904762
"35",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"36",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"37",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"38",5.97016004880222,1.35338182967599,1,10,8,2,2,0.8,0.8,0.8
"39",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"40",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"41",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"42",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"43",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"44",5.82534238645665,1.50046652385501,1,11,8,3,2,0.727272727272727,0.8,0.761904761904762
"45",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"46",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"47",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"48",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"49",3.29602451322609,1.75628779158168,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"50",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"51",3.29602451322609,1.75628779158168,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"52",3.29602451322609,1.75628779158168,1,11,6,5,4,0.545454545454545,0.6,0.571428571428571
"53",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"54",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"55",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"56",4.29715672368153,1.68874965832907,1,10,7,3,3,0.7,0.7,0.7
"57",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"58",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"59",5.97016004880222,1.35338182967599,1,10,8,2,2,0.8,0.8,0.8
"60",5.9408332271057,1.38108786277462,1,10,8,2,2,0.8,0.8,0.8
"61",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"62",5.97016004880222,1.35338182967599,1,10,8,2,2,0.8,0.8,0.8
"63",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"64",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
"65",5.98400370593333,1.34538065712964,1,10,8,2,2,0.8,0.8,0.8
"66",5.46599120170704,1.58755057513791,1,10,7,3,3,0.7,0.7,0.7
