"","za","nest","rnkIndex","len","hits","fp","fn","precision","Recall","F1"
"1",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"2",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"3",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"4",6.844076885045,1.96446218467264,1,10,9,1,1,0.9,0.9,0.9
"5",6.844076885045,1.96446218467264,1,10,9,1,1,0.9,0.9,0.9
"6",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"7",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"8",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"9",6.844076885045,1.96446218467264,1,10,9,1,1,0.9,0.9,0.9
"10",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"11",6.09782049175169,1.9683513901961,1,10,8,2,2,0.8,0.8,0.8
"12",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"13",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"14",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"15",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"16",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"17",5.94797660872312,2.02119076417862,1,10,8,2,2,0.8,0.8,0.8
"18",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"19",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"20",6.844076885045,1.96446218467264,1,10,9,1,1,0.9,0.9,0.9
"21",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"22",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"23",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"24",6.09782049175169,1.9683513901961,1,10,8,2,2,0.8,0.8,0.8
"25",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"26",6.844076885045,1.96446218467264,1,10,9,1,1,0.9,0.9,0.9
"27",6.844076885045,1.96446218467264,1,10,9,1,1,0.9,0.9,0.9
"28",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"29",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"30",6.844076885045,1.96446218467264,1,10,9,1,1,0.9,0.9,0.9
"31",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"32",6.844076885045,1.96446218467264,1,10,9,1,1,0.9,0.9,0.9
"33",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"34",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"35",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"36",6.09782049175169,1.9683513901961,1,10,8,2,2,0.8,0.8,0.8
"37",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"38",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"39",7.04167315186559,1.87631866800481,1,10,8,2,2,0.8,0.8,0.8
"40",6.844076885045,1.96446218467264,1,10,9,1,1,0.9,0.9,0.9
"41",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
"42",5.94797660872312,2.02119076417862,1,10,8,2,2,0.8,0.8,0.8
"43",7.14681710135392,1.84044121187906,1,10,8,2,2,0.8,0.8,0.8
